control;A;1;3;6;24
0,215311005;0,225352113;0,279220779;0,429378531;0,286738351;0,253521127
0,221311475;0,287234043;0,302857143;0,197628458;0,570135747;0,066666667
0,147368421;0,097560976;0,1;0,67961165;0,323353293;0,205882353
0,181818182;0,146341463;0,055555556;0,333333333;0,41509434;0,454545455
0,133333333;0,0625;0,204081633;0,260273973;0,358490566;0,333333333
0,134615385;0,238095238;0,14516129;0,543859649;0,339622642;0,333333333
0,214285714;0,363636364;0,19375;0,188888889;0,5;0,333333333
0,205128205;0,333333333;0,183333333;0,390625;0,441176471;0,214285714
0,283251232;0,116161616;0,49898167;0,339534884;0,263017356;0,278106509
0,252525253;0,104956268;0,656756757;0,30952381;0,207589286;0,152439024
0,102362205;0,333333333;0,371794872;0,291784703;0,311688312;0,069989396
0,334975369;0,237209302;0,308724832;0,249329759;0,454545455;0,073894283
0,240909091;;;0,538720539;0,282051282;0,424731183
0,24;;;0,275229358;0,2;0,512931034
0,210344828;;;0,288043478;0,355704698;0,180124224
0,240909091;;;0,284210526;0,391691395;0,209183673
0,312686567;;;;;0,121212121
0,325614035;;;;;0,263157895
0,274820144;;;;;
0,251851852;;;;;
0,308943089;;;;;
0,256465517;;;;;
0,266514806;;;;;
0,218253968;;;;;
0,2;;;;;
0,212328767;;;;;
