control;A;1;3;6;24
0,197674419;0,047958779;0,121056021;0,130925508;0,163172288;0,04494382
0,22826087;0,059673832;0,068601583;0,121248499;0,09103079;0,050955414
0,203007519;0,111111111;0,134268537;0,273109244;0,071085495;0,095774648
0,240506329;0,126506024;0,141052632;0,284023669;0,065106816;0,085173502
0,254385965;0,190965092;0,113580247;0,243697479;0,144482366;0,139896373
0,134408602;0,201793722;0,156410256;0,314671815;0,203515264;0,060185185
0,206703911;0,173076923;0,120805369;0,314814815;0,266331658;0,166666667
0,150423729;0,098039216;0,108108108;0,36318408;0,277777778;0,173515982
0,231755424;0,010579065;0,013457077;0,134751773;0,231707317;0,070404172
0,258092738;0,016845329;0,021345708;0,212984055;0,310150376;0,173999207
0,229700855;0,436363636;0,122923588;0,16969147;0,210909091;0,291970803
0,223895582;0,217638691;0,153153153;0,167973124;0,271762208;0,12962963
0,196943973;0,186764706;0,345333333;0,129787234;0,266806723;0,136579572
0,257462687;0,218266254;0,334615385;0,098562628;0,22489083;0,174706649
0,053763441;;0,315151515;0,201039861;0,338432122;0,244353183
0,03672788;;0,287128713;0,213776722;0,330708661;0,246435845
0,066793893;;;;;0,201680672
0,06916996;;;;;0,266990291
0,154545455;;;;;
0,120805369;;;;;
0,152046784;;;;;
0,141975309;;;;;
0,020822488;;;;;
0,015640274;;;;;
0,210820896;;;;;
0,314814815;;;;;
0,235033259;;;;;
0,207289294;;;;;
