control;A;1;3;6;24
0,236907731;0,534883721;0,242857143;0,644444444;0,366071429;0,35
0,203473945;0,575342466;0,339622642;0,5625;0,634146341;0,8
0,314814815;0,125;0,4;0,961038961;0,391304348;0,8
0,283987915;0,3;0,45;0,95;0,214285714;0,75
0,255376344;0,382352941;0,341463415;0,78125;0,533333333;0,75
0,256198347;0,571428571;0,222222222;0,92;0,346153846;0,75
0,222551929;0,424242424;0,470588235;0,794117647;0,539473684;0,709090909
0,235474006;0,481481481;0,277777778;0,655172414;0,563380282;0,637681159
0,287719298;0,461538462;0,774647887;0,673469388;0,12345679;0,388535032
0,350194553;0,440740741;0,719512195;0,77;0,987341772;0,24691358
0,274725275;0,472049689;0,4;0,478632479;0,981132075;0,227979275
0,319248826;0,507246377;0,406593407;0,406015038;0,772972973;0,303370787
0,555555556;;;0,059701493;0,351351351;0,416666667
0,368421053;;;0,119402985;0,526315789;0,51048951
0,125;;;0,355704698;0,43495935;0,231578947
0,142857143;;;0,391691395;0,433333333;0,347619048
0,211111111;;;;;0,666666667
0,133333333;;;;;0,859375
0,3140625;;;;;
0,441774492;;;;;
0,219512195;;;;;
0,308441558;;;;;
