control;A;1;3;6;24
0,290721649;0,329230769;0,078177103;0,399543379;0,262637363;0,292537313
0,374796748;0,338475499;0,080399826;0,368589744;0,294326241;0,30703259
0,371469949;0,338983051;0,37797619;0,433823529;0,351005484;0,246081505
0,314190441;0,438423645;0,334190231;0,352941176;0,406417112;0,325
0,228596262;0,36259542;0,267423015;0,392344498;0,364130435;0,284210526
0,267361111;0,341911765;0,315638451;0,599109131;0,367089;0,284552846
0,384279476;0,281746032;0,333333333;0,3;0,317865429;0,386768448
0,278873239;0,30941704;0,238095238;0,286201022;0,541871921;0,263736264
0,275080906;0,078817734;0,049886621;0,295499022;0,746031746;0,46
0,247222222;0,017114914;0,152968037;0,314341847;0,390625;0,463286713
0,273755656;0,293103448;0,136363636;0,353982301;0,489361702;0,405940594
0,224719101;0,405204461;0,085271318;0,323877069;0,423180593;0,343605547
0,172599784;0,246081505;0,267676768;0,349005425;0,378947368;0,394117647
0,3117506;0,313069909;0,253132832;0,253588517;;0,407682776
0,272108844;;0,338335607;0,33478735;;0,298408488
0,339920949;;0,316718588;0,301333333;;0,315521628
0,302788845;;;;;
