control;MV;MD;Per;Cu
0,385;0,463;0,376;0,427;0,412
0,393;0,451;0,361;0,424;0,491
0,422;0,453;0,441;0,439;0,441
0,428;0,458;0,407;0,436;0,536
0,397;0,469;0,416;0,434;0,48
0,407;0,45;0,417;0,447;0,395
0,39;0,442;0,432;0,523;0,473
0,366;0,436;0,389;0,57;0,481
0,409;0,482;0,434;0,462;0,399
0,463;0,473;0,409;0,462;0,554
0,455;0,443;0,427;0,48;0,477
0,451;0,462;0,428;0,426;0,519
0,349;0,359;0,38;0,414;0,555
0,37;0,369;0,444;0,456;0,592
0,404;0,439;0,412;0,448;0,43
0,415;0,46;0,419;0,515;0,544
0,441;0,431;0,431;0,515;0,454
0,406;0,482;0,443;0,51;
0,4;0,507;0,354;0,472;
0,401;0,485;0,368;0,433;
0,337;0,441;0,557;0,424;
0,425;0,509;0,379;0,501;
0,399;0,508;0,39;0,445;
0,407;0,484;0,385;0,459;
0,498;0,604;0,41;0,489;
0,477;0,568;0,449;0,541;
0,503;0,546;0,445;0,592;
0,515;0,598;0,395;0,605;
0,463;0,581;0,41;0,544;
0,489;0,633;0,42;0,548;
0,38;;;;
0,426;;;;
0,423;;;;
0,411;;;;
0,449;;;;
0,478;;;;
