control;MV;MD;Per;Cu
0,402;0,445;0,44;0,457;0,422
0,513;0,448;0,436;0,477;0,401
0,432;0,498;0,506;0,442;0,587
0,466;0,438;0,48;0,413;0,401
0,489;0,445;0,425;0,454;0,483
0,421;0,435;0,449;0,479;0,41
0,429;0,438;0,456;0,551;0,604
0,547;0,424;0,454;0,472;0,515
0,565;0,42;0,463;0,488;0,468
0,429;0,445;0,424;0,613;0,409
0,461;0,473;0,434;0,506;0,471
0,582;0,468;0,44;0,552;0,5
0,462;0,547;0,483;0,602;0,514
0,464;0,621;0,511;0,62;0,503
0,469;0,639;0,49;0,606;0,493
0,395;0,599;0,404;0,448;0,546
0,366;0,608;0,374;0,452;0,57
0,372;0,629;0,453;0,512;0,547
0,364;0,392;0,382;0,465;0,577
0,368;0,415;0,411;0,464;0,57
0,428;0,403;0,444;0,478;0,568
0,387;0,408;0,354;0,471;
0,391;0,444;0,413;0,48;
0,433;0,4;0,449;0,416;
0,363;0,484;0,415;0,513;
0,377;0,464;0,455;0,518;
0,423;0,465;0,485;0,497;
0,384;0,463;0,401;0,472;
0,362;0,487;0,423;0,399;
0,393;0,484;0,445;0,483;
0,48;;;;
0,447;;;;
0,433;;;;
0,452;;;;
0,505;;;;
0,441;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
