control;MV;MD;Per;Cu
0,109;0,098;0,429;0,421;0,241
0,147;0,115;0,422;0,442;0,255
0,138;0,108;0,419;0,446;0,319
0,13;0,123;0,409;0,466;0,226
0,152;0,104;0,428;0,471;0,259
0,187;0,116;0,448;0,458;0,271
0,23;0,209;0,447;0,375;0,263
0,181;0,277;0,445;0,446;0,269
0,202;0,245;0,441;0,418;0,308
0,158;0,166;0,455;0,437;0,254
0,213;0,224;0,465;0,412;0,277
0,301;0,264;0,451;0,4;0,319
0,211;0,156;0,096;0,137;0,241
0,106;0,239;0,098;0,141;0,236
0,087;0,231;0,097;0,184;0,285
0,141;0,207;0,105;0,154;0,167
0,095;0,243;0,114;0,188;0,215
0,143;0,279;0,112;0,203;0,224
0,193;0,19;0,168;0,306;0,256
0,182;0,273;0,184;0,325;0,208
0,233;0,232;0,19;0,334;0,265
0,143;0,17;0,194;0,316;
0,203;0,202;0,277;0,332;
0,291;0,169;0,233;0,363;
0,292;0,191;0,317;0,133;
0,337;0,286;0,297;0,14;
0,373;0,315;0,333;0,134;
0,358;0,251;0,359;0,142;
0,384;0,31;0,377;0,161;
0,369;0,357;0,419;0,159;
0,145;0,399;0,161;;
0,165;0,407;0,153;;
0,173;0,432;0,192;;
0,181;0,423;0,133;;
0,215;0,406;0,23;;
0,242;0,434;0,219;;
0,147;0,393;0,171;;
0,198;0,411;0,143;;
0,237;0,414;0,161;;
0,189;0,465;0,219;;
0,213;0,466;0,241;;
0,247;0,449;0,239;;
0,164;0,238;0,215;;
0,175;0,264;0,228;;
0,179;0,267;0,261;;
0,164;0,267;0,244;;
0,177;0,278;0,213;;
0,202;0,267;0,223;;
0,211;0,399;0,403;;
0,106;0,407;0,397;;
0,087;0,432;0,374;;
0,141;0,207;0,347;;
0,095;0,243;0,364;;
0,143;0,279;0,395;;
0,129;;;;
0,158;;;;
0,148;;;;
0,153;;;;
0,124;;;;
0,125;;;;
0,144;;;;
0,162;;;;
0,157;;;;
0,079;;;;
0,094;;;;
0,08;;;;
0,145;;;;
0,167;;;;
0,15;;;;
0,115;;;;
0,12;;;;
0,138;;;;
0,148;;;;
0,168;;;;
0,161;;;;
0,099;;;;
0,101;;;;
0,096;;;;
