control;MV;MD;Per;Cu
0,443;0,732;0,749;0,902;0,699
0,513;0,779;0,757;0,879;0,751
0,503;0,776;0,942;0,934;0,7
0,519;0,864;0,895;0,958;0,69
0,512;0,552;0,896;0,919;0,72
0,615;0,586;0,888;0,96;0,709
0,653;0,816;0,882;0,829;0,654
0,695;0,763;0,921;0,882;0,655
0,731;0,758;0,975;0,869;0,772
0,724;0,807;0,954;0,915;0,581
0,755;0,736;0,749;0,827;0,643
0,646;0,815;0,757;0,882;0,693
0,417;0,927;0,733;0,704;0,91
0,466;0,762;0,743;0,724;0,931
0,43;0,791;0,761;0,734;0,92
0,544;0,805;0,638;0,65;0,91
0,487;0,757;0,603;0,687;0,931
0,524;0,786;0,65;0,674;0,92
0,708;0,732;0,733;0,853;
0,804;0,806;0,743;0,843;
0,833;0,868;0,761;0,834;
0,804;0,732;0,757;0,89;
0,883;0,776;0,733;0,985;
0,776;0,856;0,743;0,892;
0,751;0,732;0,786;0,712;
0,745;0,776;0,774;0,795;
0,748;0,868;0,741;0,791;
0,778;0,732;0,646;0,81;
0,762;0,776;0,677;0,836;
0,782;0,856;0,709;0,838;
0,817;0,709;0,917;;
0,825;0,71;0,914;;
0,79;0,73;0,856;;
0,793;0,779;0,867;;
0,794;0,701;0,902;;
0,814;0,788;0,918;;
0,865;0,864;0,917;;
0,88;0,886;0,914;;
0,893;0,905;0,856;;
0,839;0,96;0,867;;
0,853;0,941;0,902;;
0,891;0,933;0,918;;
0,552;0,732;0,734;;
0,595;0,776;0,691;;
0,719;0,856;0,715;;
0,572;0,558;0,746;;
0,603;0,578;0,684;;
0,636;0,548;0,681;;
0,545;0,807;0,786;;
0,563;0,736;0,774;;
0,584;0,815;0,741;;
0,522;0,927;0,646;;
0,558;0,762;0,677;;
0,571;0,791;0,709;;
0,649;;;;
0,673;;;;
0,704;;;;
0,677;;;;
0,695;;;;
0,721;;;;
0,527;;;;
0,536;;;;
0,604;;;;
0,674;;;;
0,677;;;;
0,508;;;;
0,565;;;;
0,566;;;;
0,559;;;;
0,604;;;;
0,674;;;;
0,649;;;;
0,673;;;;
0,704;;;;
0,714;;;;
0,785;;;;
0,732;;;;
0,787;;;;
