control;A;1;3;6;24
0,385;0,536;0,497;0,526;0,313;0,297
0,393;0,515;0,488;0,465;0,378;0,313
0,422;0,535;0,483;0,464;0,355;0,352
0,428;0,49;0,506;0,47;0,302;0,314
0,397;0,553;0,498;0,44;0,327;0,372
0,407;0,539;0,415;0,434;0,405;0,323
0,39;0,414;0,398;0,438;0,378;0,479
0,366;0,458;0,348;0,447;0,387;0,532
0,409;0,443;0,308;0,415;0,313;0,535
0,463;0,309;0,384;0,348;0,348;0,588
0,455;0,373;0,371;0,439;0,379;0,607
0,451;0,398;0,328;0,433;0,349;0,538
0,349;0,358;0,385;0,414;0,381;0,354
0,37;0,304;0,397;0,344;0,387;0,323
0,404;0,299;0,331;0,359;0,428;0,403
0,415;0,417;0,506;0,379;0,554;0,343
0,441;0,372;0,498;0,42;0,418;0,316
0,406;0,394;0,415;0,339;0,465;0,424
0,4;0,362;0,388;0,438;0,47;0,209
0,401;0,35;0,344;0,447;0,431;0,237
0,337;0,337;0,379;0,415;0,528;0,271
0,425;0,355;0,357;0,348;0,512;0,247
0,399;0,396;0,36;0,439;0,488;0,228
0,407;0,409;0,365;0,433;0,558;0,285
0,498;0,372;0,397;0,414;0,548;0,266
0,477;0,332;0,341;0,444;0,596;0,295
0,503;0,348;0,294;0,359;0,566;0,325
0,515;0,371;0,375;0,379;0,544;0,315
0,463;0,363;0,322;0,32;0,56;0,309
0,489;0,369;0,364;0,339;0,534;0,313
0,38;;;;;
0,426;;;;;
0,423;;;;;
0,411;;;;;
0,449;;;;;
0,478;;;;;
