control;A;1;3;6;24
0,402;0,478;0,466;0,462;0,47;0,394
0,513;0,488;0,448;0,536;0,513;0,454
0,432;0,464;0,523;0,56;0,459;0,388
0,466;0,499;0,525;0,572;0,545;0,438
0,489;0,495;0,536;0,483;0,543;0,468
0,421;0,423;0,489;0,539;0,53;0,406
0,429;0,423;0,527;0,42;0,66;0,564
0,547;0,493;0,514;0,398;0,684;0,557
0,565;0,396;0,459;0,403;0,682;0,6
0,429;0,397;0,484;0,482;0,619;0,478
0,461;0,515;0,521;0,433;0,618;0,603
0,582;0,443;0,442;0,425;0,597;0,594
0,462;0,587;0,509;0,441;0,586;0,457
0,464;0,616;0,588;0,47;0,628;0,687
0,469;0,597;0,565;0,465;0,607;0,74
0,395;0,612;0,524;0,463;0,642;0,554
0,366;0,591;0,522;0,451;0,674;0,646
0,372;0,605;0,555;0,515;0,648;0,71
0,364;0,525;0,445;0,512;0,571;0,536
0,368;0,486;0,455;0,433;0,495;0,594
0,428;0,488;0,441;0,425;0,462;0,584
0,387;0,525;0,416;0,511;0,54;0,603
0,391;0,551;0,439;0,517;0,444;0,612
0,433;0,528;0,435;0,465;0,491;0,648
0,363;0,485;0,415;0,463;0,404;0,547
0,377;0,505;0,425;0,451;0,539;0,54
0,423;0,476;0,464;0,415;0,542;0,612
0,384;0,574;0,433;0,512;0,552;0,605
0,362;0,546;0,438;0,498;0,462;0,511
0,393;0,524;0,435;0,473;0,514;0,582
0,48;;;;;
0,447;;;;;
0,433;;;;;
0,452;;;;;
0,505;;;;;
0,441;;;;;
