control;A;1;3;6;24
0,129;0,105;0,098;0,181;0,159;0,252
0,158;0,099;0,094;0,152;0,191;0,175
0,148;0,114;0,106;0,157;0,091;0,219
0,153;0,112;0,097;0,322;0,102;0,214
0,124;0,11;0,101;0,145;0,103;0,191
0,125;0,129;0,125;0,143;0,137;0,147
0,144;0,174;0,099;0,136;0,179;0,181
0,162;0,128;0,088;0,112;0,165;0,217
0,157;0,104;0,103;0,117;0,215;0,163
0,079;0,137;0,102;0,113;0,126;0,142
0,094;0,1;0,121;0,11;0,155;0,189
0,08;0,137;0,132;0,109;0,13;0,225
0,145;0,126;0,15;0,087;0,143;0,188
0,167;0,15;0,179;0,087;0,35;0,281
0,15;0,165;0,199;0,093;0,16;0,135
0,115;0,155;0,165;0,11;0,203;0,211
0,12;0,157;0,193;0,103;0,248;0,146
0,138;0,165;0,219;0,121;0,249;0,253
0,148;0,119;0,164;0,102;0,152;0,182
0,168;0,128;0,161;0,125;0,112;0,175
0,161;0,166;0,145;0,126;0,117;0,209
0,099;0,129;0,09;0,187;0,121;0,211
0,101;0,15;0,143;0,189;0,132;0,198
0,096;0,213;0,218;0,143;0,17;0,157
0,109;;;;;0,252
0,147;;;;;0,32
0,138;;;;;0,383
0,13;;;;;0,22
0,152;;;;;0,268
0,187;;;;;0,313
0,23;;;;;
0,181;;;;;
0,202;;;;;
0,158;;;;;
0,213;;;;;
0,301;;;;;
0,211;;;;;
0,106;;;;;
0,087;;;;;
0,141;;;;;
0,095;;;;;
0,143;;;;;
0,193;;;;;
0,182;;;;;
0,233;;;;;
0,143;;;;;
0,203;;;;;
0,291;;;;;
0,292;;;;;
0,337;;;;;
0,373;;;;;
0,358;;;;;
0,384;;;;;
0,369;;;;;
0,145;;;;;
0,165;;;;;
0,173;;;;;
0,181;;;;;
0,215;;;;;
0,242;;;;;
0,147;;;;;
0,198;;;;;
0,237;;;;;
0,189;;;;;
0,213;;;;;
0,247;;;;;
0,164;;;;;
0,175;;;;;
0,179;;;;;
0,164;;;;;
0,177;;;;;
0,202;;;;;
0,211;;;;;
0,106;;;;;
0,087;;;;;
0,141;;;;;
0,095;;;;;
0,143;;;;;
