control;A;1;3;6;24
0,649;0,414;0,551;0,648;0,793408776;1,066381443
0,673;0,455;0,551;0,726;0,906572748;0,971020619
0,704;0,485;0,558;0,765;0,907727483;1,08442268
0,677;0,422;0,528;0,782;0,878666667;0,992927835
0,695;0,45;0,569;0,706;0,846703196;1,021278351
0,721;0,477;0,526;0,904;0,888940639;1,074113402
0,527;0,303;0,569;0,649;0,869;0,984894737
0,536;0,372;0,522;0,668;1,008;1,026561404
0,604;0,388;0,569;0,669;0,943;1,03204386
0,674;0,329;0,599;0,753;0,909;1,056166667
0,677;0,341;0,577;0,74;0,981;1,018885965
0,508;0,402;0,58;0,689;0,97;1,087964912
0,565;0,379;0,61;0,648;0,782;0,902333333
0,566;0,429;0,655;0,767;0,933;0,923444444
0,559;0,495;0,664;0,779;0,943;0,943444444
0,604;0,438;0,641;0,776;0,921;0,856777778
0,674;0,422;0,732;0,807;0,873;0,922333333
0,649;0,533;0,728;0,736;0,945;1,001222222
0,673;0,584;0,715;0,596;0,795;0,902452381
0,704;0,638;0,697;0,626;0,77;1,162869048
0,714;0,558;0,698;0,646;0,782;0,96197619
0,785;0,596;0,644;0,563;0,793;1,296797619
0,732;0,558;0,69;0,564;0,816;0,945607143
0,787;0,533;0,742;0,554;0,777;1,121202381
0,443;;;;;
0,513;;;;;
0,503;;;;;
0,519;;;;;
0,512;;;;;
0,615;;;;;
0,653;;;;;
0,695;;;;;
0,731;;;;;
0,724;;;;;
0,755;;;;;
0,646;;;;;
0,417;;;;;
0,466;;;;;
0,43;;;;;
0,544;;;;;
0,487;;;;;
0,524;;;;;
0,708;;;;;
0,804;;;;;
0,833;;;;;
0,804;;;;;
0,883;;;;;
0,776;;;;;
0,751;;;;;
0,745;;;;;
0,748;;;;;
0,778;;;;;
0,762;;;;;
0,782;;;;;
0,817;;;;;
0,825;;;;;
0,79;;;;;
0,793;;;;;
0,794;;;;;
0,814;;;;;
0,865;;;;;
0,88;;;;;
0,893;;;;;
0,839;;;;;
0,853;;;;;
0,891;;;;;
0,552;;;;;
0,595;;;;;
0,719;;;;;
0,572;;;;;
0,603;;;;;
0,636;;;;;
0,545;;;;;
0,563;;;;;
0,584;;;;;
0,522;;;;;
0,558;;;;;
0,571;;;;;
