control;MV;MD;Per;Cu
0,215311005;0,571428571;0,528301887;0,341666667;0,310502283
0,221311475;0,482142857;0,272131148;0,327906977;0,47979798
0,147368421;0,3625;0,457894737;0,366666667;0,36627907
0,181818182;0,335714286;0,523809524;0,565217391;0,303125
0,133333333;0,386206897;0,325274725;0,321568627;0,333333333
0,134615385;0,403703704;0,372897196;0,308695652;0,451505017
0,214285714;0,374647887;0,230576923;0,325789474;0,46
0,205128205;0,327142857;0,438461538;0,306122449;0,425
0,283251232;0,249134948;0,321799308;0,339;0,366666667
0,252525253;0,453367876;0,388513514;0,3243;0,441721854
0,102362205;;0,319174041;0,365217391;0,476785714
0,334975369;;0,312757202;0,421568627;
0,240909091;;;;
0,24;;;;
0,210344828;;;;
0,240909091;;;;
0,312686567;;;;
0,325614035;;;;
0,274820144;;;;
0,251851852;;;;
0,308943089;;;;
0,256465517;;;;
0,266514806;;;;
0,218253968;;;;
0,2;;;;
0,212328767;;;;
