control;MV;MD;Per;Cu
0,197674419;0,265625;0,253846154;0,15037594;0,335483871
0,22826087;0,237704918;0,241758242;0,269565217;0,258160237
0,203007519;0,341666667;0,25;0,244897959;0,207507821
0,240506329;0,271186441;0,254826255;0,2;0,324324324
0,254385965;0,178707224;0,220164609;0,163265306;0,348571429
0,134408602;0,164383562;0,252252252;0,263383298;0,239677744
0,206703911;0,219512195;0,221590909;0,216738197;0,309202454
0,150423729;0,170138889;0,24137931;0,254972875;0,271714643
0,231755424;;0,234234234;0,305208333;0,307453416
0,258092738;;0,290519878;0,214761905;0,329985653
0,229700855;;;;0,235849057
0,223895582;;;;0,216216216
0,196943973;;;;0,218443396
0,257462687;;;;0,293675027
0,053763441;;;;
0,03672788;;;;
0,066793893;;;;
0,06916996;;;;
0,154545455;;;;
0,120805369;;;;
0,152046784;;;;
0,141975309;;;;
0,020822488;;;;
0,015640274;;;;
0,210820896;;;;
0,314814815;;;;
0,235033259;;;;
0,207289294;;;;
