control;MV;MD;Per;Cu
0,236907731;0,356896552;0,277511962;0,281512605;0,352491694
0,203473945;0,331182796;0,370149254;0,410909091;0,357114094
0,314814815;0,340136054;0,318181818;0,398013245;0,335892514
0,283987915;0,404929577;0,313304721;0,325225225;0,354347826
0,255376344;0,452205882;0,423423423;0,347826087;0,390566038
0,256198347;0,606425703;0,487179487;0,494262295;0,361363636
0,222551929;0,34;0,375;0,42173913;
0,235474006;0,397727273;0,514018692;0,362365591;
0,287719298;;;;
0,350194553;;;;
0,274725275;;;;
0,319248826;;;;
0,555555556;;;;
0,368421053;;;;
0,125;;;;
0,142857143;;;;
0,211111111;;;;
0,133333333;;;;
0,3140625;;;;
0,441774492;;;;
0,219512195;;;;
0,308441558;;;;
