control;MV;MD;Per;Cu
0,321357285;0,393213573;0,552795031;0,457786116;0,536324786
0,221453287;0,375824176;0,419889503;0,411111111;0,593333333
0,338323353;0,468239564;0,573333333;0,50443787;0,588180113
0,353333333;0,53307393;0,698666667;0,537154989;0,509865005
0,40877193;0,594;0,40862069;0,606666667;0,437735849
0,398832685;0,521818182;0,438983051;0,586580087;0,435542169
0,394077449;0,604562738;0,472584856;0,403125;
0,290721649;0,5875;0,398514851;0,410745234;
0,374796748;;;;
0,371469949;;;;
0,314190441;;;;
0,228596262;;;;
0,267361111;;;;
0,384279476;;;;
0,278873239;;;;
0,275080906;;;;
0,247222222;;;;
0,273755656;;;;
0,224719101;;;;
0,172599784;;;;
0,3117506;;;;
0,272108844;;;;
0,339920949;;;;
0,302788845;;;;
